ticket_id,customer_id,complaint_category,complaint_date,severity
TICKET000001,CUST066399,Poor Customer Service,2024-05-25,9
TICKET000002,CUST093552,Poor Customer Service,2025-04-09,9
TICKET000003,CUST036105,Loan Application Rejected,2024-11-19,0
TICKET000004,CUST009056,Poor Customer Service,2025-01-09,6
TICKET000005,CUST008985,Mobile App Issues,2024-09-26,2
TICKET000006,CUST055523,Poor Customer Service,2024-07-16,1
TICKET000007,CUST027927,Mobile App Issues,2024-07-28,3
TICKET000008,CUST057462,Incorrect Charges,2024-11-04,6
TICKET000009,CUST071940,Unauthorized Transaction,2024-05-12,2
TICKET000010,CUST029758,ATM Withdrawal Failed,2025-04-07,6
TICKET000011,CUST073526,Card Not Working,2024-07-23,9
TICKET000012,CUST027987,Incorrect Charges,2025-01-23,2
TICKET000013,CUST006170,KYC Verification Delay,2025-04-18,9
TICKET000014,CUST004383,Account Locked,2024-05-12,5
TICKET000015,CUST087479,Card Not Working,2025-02-17,3
TICKET000016,CUST091117,ATM Withdrawal Failed,2024-09-11,7
TICKET000017,CUST016104,Delayed Refund,2024-12-24,7
TICKET000018,CUST060996,Poor Customer Service,2025-01-31,8
TICKET000019,CUST006450,Incorrect Charges,2024-09-03,1
TICKET000020,CUST061539,KYC Verification Delay,2025-05-06,1
TICKET000021,CUST036993,Incorrect Charges,2024-12-06,0
TICKET000022,CUST073152,Incorrect Charges,2024-09-15,4
TICKET000023,CUST044982,ATM Withdrawal Failed,2025-01-20,8
TICKET000024,CUST050456,Delayed Refund,2024-09-26,9
TICKET000025,CUST040402,Poor Customer Service,2024-06-01,4
TICKET000026,CUST060226,ATM Withdrawal Failed,2025-03-21,4
TICKET000027,CUST058152,Unauthorized Transaction,2024-06-27,2
TICKET000028,CUST041593,Unauthorized Transaction,2024-11-13,6
TICKET000029,CUST028079,Poor Customer Service,2024-06-11,9
TICKET000030,CUST017003,Unauthorized Transaction,2024-10-17,2
TICKET000031,CUST095872,Incorrect Charges,2024-05-26,0
TICKET000032,CUST052737,ATM Withdrawal Failed,2024-10-05,4
TICKET000033,CUST018234,KYC Verification Delay,2024-06-30,4
TICKET000034,CUST013455,Incorrect Charges,2024-06-30,8
TICKET000035,CUST040417,Mobile App Issues,2025-03-08,8
TICKET000036,CUST079281,Mobile App Issues,2024-07-12,0
TICKET000037,CUST002318,Card Not Working,2025-02-21,9
TICKET000038,CUST017917,Incorrect Charges,2024-10-27,10
TICKET000039,CUST064642,Poor Customer Service,2025-01-11,0
TICKET000040,CUST077544,Incorrect Charges,2025-03-11,6
TICKET000041,CUST010991,KYC Verification Delay,2024-07-02,6
TICKET000042,CUST066086,Loan Application Rejected,2024-08-16,5
TICKET000043,CUST041809,Mobile App Issues,2024-06-23,8
TICKET000044,CUST003408,KYC Verification Delay,2024-12-07,5
TICKET000045,CUST086727,Poor Customer Service,2025-05-07,0
TICKET000046,CUST094638,Account Locked,2024-12-21,0
TICKET000047,CUST037947,Delayed Refund,2024-11-26,7
TICKET000048,CUST060681,Account Locked,2024-08-13,8
TICKET000049,CUST028947,Account Locked,2024-07-31,5
TICKET000050,CUST062707,Account Locked,2024-11-30,1
TICKET000051,CUST031094,Poor Customer Service,2024-12-27,4
TICKET000052,CUST032734,Mobile App Issues,2024-11-04,3
TICKET000053,CUST059891,Account Locked,2024-06-04,8
TICKET000054,CUST077188,KYC Verification Delay,2024-06-30,2
TICKET000055,CUST067192,Poor Customer Service,2024-07-10,10
TICKET000056,CUST057244,ATM Withdrawal Failed,2024-09-05,3
TICKET000057,CUST017265,Incorrect Charges,2025-02-14,0
TICKET000058,CUST033870,Delayed Refund,2025-01-21,1
TICKET000059,CUST076555,Mobile App Issues,2025-02-05,3
TICKET000060,CUST084616,Delayed Refund,2025-02-17,2
TICKET000061,CUST079327,ATM Withdrawal Failed,2024-05-16,0
TICKET000062,CUST009164,Poor Customer Service,2025-01-11,1
TICKET000063,CUST055472,Poor Customer Service,2024-07-27,4
TICKET000064,CUST013480,Mobile App Issues,2025-04-18,2
