customer_id|loan_type|amount_utilized|utilization_date|loan_reason
CUST077451|Top-Up Loan|168000|2024-12-18|You should definitely join we could host a small get-together at my place this weekend
CUST048212|Business Loan|781000|2025-01-01|We seriously need to we could spend a lazy Sunday just binge-watching old shows
CUST091363|Credit Card Loan|516000|2024-07-15|Hey I was thinking we could host a small get-together at my place this weekend
CUST014260|Auto Loan|548000|2024-08-04|Thank you for your attention that the scheduled timeline for the project remains unchanged
CUST085898|Top-Up Loan|437000|2024-11-25|We should arrange a meeting that your valuable feedback is shared with the broader management team
CUST066085|Auto Loan|832000|2024-07-17|Please do not hesitate to reach out that the invoice details are correctly reflected in your records
CUST066718|Travel Loan|359000|2024-07-08|Maybe we can plan something we could spend a lazy Sunday just binge-watching old shows
CUST018758|Auto Loan|646000|2024-09-01|The requested documents have been prepared and that your valuable feedback is shared with the broader management team
CUST058872|Credit Card Loan|954000|2025-01-26|We are awaiting your confirmation that your valuable feedback is shared with the broader management team
CUST063024|Medical Loan|440000|2024-09-03|You should definitely join we could grab dinner sometime this week and catch up properly
CUST000433|Loan Against Deposit|907000|2024-06-12|Thank you for your attention that your comments are incorporated into the final version of the agreement
CUST096277|Home Loan|433000|2024-09-13|We seriously need to we could start working on that project idea we joked about earlier
CUST007444|Auto Loan|105000|2024-07-28|Thank you for your attention that your valuable feedback is shared with the broader management team
CUST044992|Credit Card Loan|283000|2025-03-23|You should definitely join we could try that new pizza place everyone keeps recommending
CUST065423|Home Loan|573000|2024-11-16|I would like to inform you that we maintain open communication during the implementation period
CUST092750|Medical Loan|735000|2024-09-25|Just wanted to say we could book tickets for that concert happening next month
CUST088980|Loan Against Deposit|501000|2024-07-25|Thank you for your attention that the updated policy guidelines have been distributed to all departments
CUST005025|Education Loan|769000|2024-07-13|We seriously need to we could grab dinner sometime this week and catch up properly
CUST016642|Loan Against Deposit|981000|2024-12-22|We should arrange a meeting that the invoice details are correctly reflected in your records
CUST060701|Education Loan|114000|2025-04-19|Thinking we should we could grab dinner sometime this week and catch up properly
CUST093892|Business Loan|823000|2024-11-08|Hey I was thinking we could check out that new movie you mentioned last month
CUST081488|Home Loan|738000|2025-01-19|Thank you for your attention that your valuable feedback is shared with the broader management team
